name,position,latitude,longitude,species,transect
1,N38.57523 W121.74817,38.57523,-121.74817,A. fascicularis,1
2,N38.57522 W121.74823,38.57522,-121.74823,A. fascicularis,1
3,N38.57522 W121.74834,38.57522,-121.74834,A. fascicularis,1
4,N38.57522 W121.74845,38.57522,-121.74845,A. fascicularis,1
5,N38.57522 W121.74853,38.57522,-121.74853,A. fascicularis,1
6,N38.57523 W121.74861,38.57523,-121.74861,A. fascicularis,1
7,N38.57521 W121.74866,38.57521,-121.74866,A. fascicularis,1
8,N38.57521 W121.74872,38.57521,-121.74872,A. fascicularis,1
9,N38.57522 W121.74881,38.57522,-121.74881,A. fascicularis,1
10,N38.57523 W121.74887,38.57523,-121.74887,A. fascicularis,1
11,N38.57521 W121.74895,38.57521,-121.74895,A. fascicularis,1
12,N38.57522 W121.74901,38.57522,-121.74901,A. fascicularis,1
13,N38.57522 W121.74908,38.57522,-121.74908,A. fascicularis,1
14,N38.57522 W121.74914,38.57522,-121.74914,A. fascicularis,1
15,N38.57523 W121.74920,38.57523,-121.7492,A. fascicularis,1
16,N38.57522 W121.74928,38.57522,-121.74928,A. fascicularis,1
17,N38.57523 W121.74934,38.57523,-121.74934,A. fascicularis,1
18,N38.57523 W121.74941,38.57523,-121.74941,A. fascicularis,1
19,N38.57523 W121.74949,38.57523,-121.74949,A. fascicularis,1
20,N38.57523 W121.74956,38.57523,-121.74956,A. fascicularis,1
21,N38.57523 W121.74963,38.57523,-121.74963,A. fascicularis,1
22,N38.57521 W121.74971,38.57521,-121.74971,A. fascicularis,1
23,N38.57522 W121.74977,38.57522,-121.74977,A. fascicularis,1
24,N38.57523 W121.74983,38.57523,-121.74983,A. fascicularis,1
25,N38.57523 W121.74989,38.57523,-121.74989,A. fascicularis,1
26,N38.57523 W121.74996,38.57523,-121.74996,A. fascicularis,1
27,N38.57523 W121.75003,38.57523,-121.75003,A. fascicularis,1
28,N38.57524 W121.75011,38.57524,-121.75011,A. fascicularis,1
29,N38.57523 W121.75018,38.57523,-121.75018,A. fascicularis,1
30,N38.57523 W121.75026,38.57523,-121.75026,A. fascicularis,1
31,N38.57523 W121.75032,38.57523,-121.75032,A. fascicularis,1
32,N38.57523 W121.75039,38.57523,-121.75039,A. fascicularis,1
33,N38.57522 W121.75045,38.57522,-121.75045,A. fascicularis,1
34,N38.57522 W121.75053,38.57522,-121.75053,A. fascicularis,1
35,N38.57524 W121.75059,38.57524,-121.75059,A. fascicularis,1
36,N38.57524 W121.75065,38.57524,-121.75065,A. fascicularis,1
37,N38.57524 W121.75071,38.57524,-121.75071,A. fascicularis,1
38,N38.57524 W121.75079,38.57524,-121.75079,A. fascicularis,1
39,N38.57524 W121.75087,38.57524,-121.75087,A. fascicularis,1
40,N38.57524 W121.75093,38.57524,-121.75093,A. fascicularis,1
41,N38.57524 W121.75100,38.57524,-121.751,A. fascicularis,1
42,N38.57524 W121.75107,38.57524,-121.75107,A. fascicularis,1
43,N38.57524 W121.75114,38.57524,-121.75114,A. fascicularis,1
44,N38.57524 W121.75120,38.57524,-121.7512,A. fascicularis,1
45,N38.57525 W121.75129,38.57525,-121.75129,A. fascicularis,1
46,N38.57524 W121.75135,38.57524,-121.75135,A. fascicularis,1
47,N38.57525 W121.75141,38.57525,-121.75141,A. fascicularis,1
48,N38.57525 W121.75148,38.57525,-121.75148,A. fascicularis,1
49,N38.57525 W121.75156,38.57525,-121.75156,A. fascicularis,1
50,N38.57525 W121.75163,38.57525,-121.75163,A. fascicularis,1
51,N38.57525 W121.75169,38.57525,-121.75169,A. fascicularis,1
52,N38.57525 W121.75176,38.57525,-121.75176,A. fascicularis,1
53,N38.57525 W121.75183,38.57525,-121.75183,A. fascicularis,1
54,N38.57525 W121.75190,38.57525,-121.7519,A. fascicularis,1
55,N38.57525 W121.75197,38.57525,-121.75197,A. fascicularis,1
56,N38.57525 W121.75205,38.57525,-121.75205,A. fascicularis,1
57,N38.57524 W121.75211,38.57524,-121.75211,A. fascicularis,1
58,N38.57524 W121.75219,38.57524,-121.75219,A. fascicularis,1
59,N38.57524 W121.75224,38.57524,-121.75224,A. fascicularis,1
60,N38.57525 W121.75231,38.57525,-121.75231,A. fascicularis,1
61,N38.57525 W121.75237,38.57525,-121.75237,A. fascicularis,1
62,N38.57524 W121.75244,38.57524,-121.75244,A. fascicularis,1
63,N38.57525 W121.75252,38.57525,-121.75252,A. fascicularis,1
64,N38.57525 W121.75259,38.57525,-121.75259,A. fascicularis,1
65,N38.57525 W121.75265,38.57525,-121.75265,A. fascicularis,1
66,N38.57526 W121.75272,38.57526,-121.75272,A. fascicularis,1
67,N38.57525 W121.75280,38.57525,-121.7528,A. fascicularis,1
68,N38.57526 W121.75286,38.57526,-121.75286,A. fascicularis,1
69,N38.57526 W121.75293,38.57526,-121.75293,A. fascicularis,1
70,N38.57526 W121.75300,38.57526,-121.753,A. fascicularis,1
71,N38.57526 W121.75307,38.57526,-121.75307,A. fascicularis,1
72,N38.57525 W121.75313,38.57525,-121.75313,A. fascicularis,1
73,N38.57525 W121.75320,38.57525,-121.7532,A. fascicularis,1
74,N38.57525 W121.75328,38.57525,-121.75328,A. fascicularis,1
75,N38.57526 W121.75334,38.57526,-121.75334,A. fascicularis,1
76,N38.57526 W121.75341,38.57526,-121.75341,A. fascicularis,1
77,N38.57527 W121.75348,38.57527,-121.75348,A. fascicularis,1
78,N38.57526 W121.75355,38.57526,-121.75355,A. fascicularis,1
79,N38.57527 W121.75361,38.57527,-121.75361,A. fascicularis,1
80,N38.57526 W121.75369,38.57526,-121.75369,A. fascicularis,1
81,N38.57528 W121.75376,38.57528,-121.75376,A. fascicularis,1
82,N38.57527 W121.75383,38.57527,-121.75383,A. fascicularis,1
83,N38.57527 W121.75389,38.57527,-121.75389,A. fascicularis,1
84,N38.57527 W121.75396,38.57527,-121.75396,A. fascicularis,1
85,N38.57527 W121.75403,38.57527,-121.75403,A. fascicularis,1
86,N38.57527 W121.75410,38.57527,-121.7541,A. fascicularis,1
87,N38.57527 W121.75417,38.57527,-121.75417,A. fascicularis,1
